"Note","Course","Module","Clip","Time in Clip","URL"
"Half duplex means only one device can communicate at a time on #Ethernet","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","0:27","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=27&noteid=ac5862a4-15e3-4eb8-886b-4773e321cf53"
" Half duplex is really similar to walkie talkie. I can only talk or listen, not both.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","0:36","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=36&noteid=ee66459f-157b-46f2-ac30-71a641b5975d"
" Full Duplex is more like a *telephone* communication, which means that two devices can communicate at a time and listen/talk simultaneously.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","1:04","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=64&noteid=291fff59-5178-4899-b5d0-02d8029e7e00"
"Full Duplex networks allow us not to worry about Collisions.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","1:38","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=98&noteid=e51d70c9-21b1-4fdb-bf23-1d2021730892"
"Modern Collision Domain: Half Duplex connection between a PC and a switch. \n\n- We might keep half duplex because we are dealing with an old device. \n\n- Might used experimentation.","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","1:55","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=115&noteid=a983e80d-6f26-46e8-8ce2-c77a64a09d8f"
"Most modern networks are Full Duplex. ","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","2:34","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=154&noteid=57fd3771-8e22-484a-a10b-a3b73edd00e7"
"Ethernet = 10Mbps - 1982\nFastEthernet = 100Mbps\nGigabitEthernet = 1Gbps - Common\n10GigabitEthernet = 10Gbps - Connects ISPs together","Networking Concepts and Protocols","Ethernet and Switching","Duplex and Speed","2:55","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=3&mode=live&start=175&noteid=dd7a8312-4dd6-4d67-9fe3-b0b08295f89f"
"What hasn't changed since the creation of Ethernet is the **Frame**. Protocols changed, duplexes changed, but not Frame.","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","0:23","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=23&noteid=2c4fa350-2183-4b1c-80af-bec2cff8793b"
"Ethernet II Frame is like a packet but for Layer 2. It contains Data Link addresses (Dst. and Src. Addresses), and it might also contain Layer 3 data, called a **packet**. (It doesn't necessarily need to be IP data)\n&nbsp;\nThis **packet** is the data we are transferring in the Frame. Everything is the frame information, that is used by Ethernet to understand where this **chunk of data, with a data link layer header**, is going.","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","0:54","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=54&noteid=2d0efd76-aea5-43ad-b5a6-b3ab7a0359bc"
"Ethernet Frame:\n- Dst Mac Address\n    - MAC address TIED to a **Network Interface Card**\n- Src Mac Address\n- Type \n- FCS (Frame Check Sequence)\n\nPacket inside Ethernet II Frame:\n- Data/Payload","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","1:47","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=107&noteid=4b4b8020-cd58-4d22-b823-b45b522ba104"
"Ethernet Frame/MAC Address:\n- Contains the Manufacturer ID (first 24 bits) and a Serial Number (last 24 bits)\n- The Address is burned on the Network Interface Card at the factory","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","2:33","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=153&noteid=1709c9c9-9fe6-48e9-8867-0a4c24cd00be"
"Ethernet Frame/Type: \n- Will tell us what kind of data are we transferring (Is it Layer 2 or 3?)","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","3:11","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=191&noteid=83a37bb3-7cf5-4e2c-8882-03e111508f1d"
"Ethernet Frame/FCS:\n- Frame Check Sequence\n- It does something called a Cyclical Redundancy Check (CRC)\n- What it does: \n    - It takes all the data inside the frame, runs it through an algorithm, then computes a value. That value is a 32-bit field inside the FCS. \n- Then when the Dst. Device receives the frame, it also runs an algorithm and checks to see if the receiving FCS matches the sent FCS.  ","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","3:40","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=220&noteid=ecc8fbf3-9503-49e4-8f6b-f5edd58bbf70"
"Maximum Transmission Unit (MTU):\n- Max amount of bytes for Ethernet = 1500 bytes.\n- This is within the Packet section of the Ethernet II Frame.","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","3:57","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=237&noteid=060ce22b-faba-425d-9908-466af92394d8"
"Protocol Data Unit (PDU):\n- Differs from Layer to Layer and is the whole unit.\n- In Layer 2, the PDU is the entire frame and the data that we are transferring (FCS, Type, Dst., Src., and the packet) ","Networking Concepts and Protocols","Ethernet and Switching","Ethernet II Frame","4:18","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=4&mode=live&start=258&noteid=a596ed36-d213-4029-aea5-026b62303e61"
"Bus: A single wire, that has many devices attached to said wire. Rarely will you see a bus network in modern data networks. ","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","0:39","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=39&noteid=86804915-17d3-453d-a6f3-ebeaf0bece75"
"Ring: Also antiquated. Token Ring was a thing in late 80s, early 90s as a way to compete with Ethernet.","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","0:57","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=57&noteid=4ae96f31-1d81-48fe-8290-831b00b615a7"
"Star Topology: Modern Ethernet uses it. Won over Bus and Ring.","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","1:23","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=83&noteid=f05971d4-fd4e-487d-add6-16bbfab87762"
"Bus Topology: \n- 10Base2 Hardware.\n    - T-shaped to allow computers to connect to that single bus wire.\n    - Successor to 10Base5.\n- 10Base5 Hardware.\n    - Vampire taps. \n    - Original Ethernet Hardware","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","1:54","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=114&noteid=3572ffcc-fc34-462f-b125-c020840d8bf6"
"Ring Topology:\n- A sort of ring-around-the-rosie messaging approach. \n- IBM made it extremely expensive to implement it.\n- IBM Token Ring MAU (Media Access Unit)\n    - Hooked up all the computers to this device, and pass the **Token** around to the computers.","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","2:57","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=177&noteid=059316c1-1f60-406c-8cbc-12e56cdaa0f5"
"Star Topology: \n- We have a hub, a layer 1 device, that is a **multiport-repeater**, which takes in a signal, and then all other devices on that network will hear it.\n- Switching takes care of collisions. ","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","3:46","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=226&noteid=b5d68961-6ea8-4254-9355-57c82798788e"
"Ethernet Switch:\n- Allows us to prevent collisions. \n- Switches break up collision domains.","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","4:24","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=264&noteid=79e70160-50c4-4159-b5ab-ea84306e3948"
"MAC Address Table:\n- Switches keep track of layer 2 addresses via the headers. It checks for Source MAC Addresses that is being received and through which port.","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","4:47","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=287&noteid=7490294a-4b4c-49ec-93d1-f29c61a4e7d2"
"With MAC Address tables, we do not get collisions like we did in the past because the Switch creates these little virtual circuits (between ports/MAC addresses on the network). ","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","7:06","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=426&noteid=5a940638-9cbd-4e9c-9f35-4896b65f649c"
"Broadcast:\n- Ethernet is considered to be a broadcast network type.\n- If you put all *F*'s inside the Dst. MAC Address, that is called a Layer 2 Broadcast Address.\n- Will send the broadcast message to all the devices on the network, except the one sending it. ","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","7:31","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=451&noteid=d9af8039-3515-416d-92ea-896261291229"
"Layer 3 broadcast addresses are rarely used, unlike the Layer 2 broadcast address (FFFFFFFF). ","Networking Concepts and Protocols","Ethernet and Switching","Network Topologies","7:53","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=5&mode=live&start=473&noteid=38615d65-c828-4be4-ae43-353ea2eb636d"
"Broadcast Domain: \n- Group of networked devices which will receive a layer 2 broadcast message. ","Networking Concepts and Protocols","Ethernet and Switching","Demo: Examine the MAC Address Table","8:46","https://app.pluralsight.com/player?course=comptia-network-plus-networking-concepts&author=ross-bagurdes&name=ed11004c-5a48-41c5-8c23-fbf46a0cdae2&clip=6&mode=live&start=526&noteid=21fc8592-9292-42c0-902b-8cce072d9415"